epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,724.384,0.87845,2.55664,1.02341,0.00336,1,0.35611,0.31797,0.60727,3.62207,0.85044,0.00054409,0.00054409,0.00054409
2,1581.97,0.89214,1.69166,1.0221,0.91593,0.38889,0.86121,0.69175,0.72801,2.7748,0.89686,0.00106346,0.00106346,0.00106346
3,1994.33,0.89589,1.51586,1.03806,0.88662,0.64163,0.81655,0.64973,0.87309,2.07648,1.03236,0.00154617,0.00154617,0.00154617
4,2460.31,0.90358,1.32325,1.03963,0.8304,0.78241,0.87821,0.65314,0.85434,1.97959,1.04881,0.00150197,0.00150197,0.00150197
5,2838.3,0.86897,1.12338,1.04642,0.97255,0.96166,0.93924,0.76189,0.67104,1.15279,0.91649,0.00144696,0.00144696,0.00144696
6,3295.93,0.81612,0.99716,1.01663,0.9918,0.95648,0.97714,0.81457,0.67948,0.82623,0.91906,0.00139195,0.00139195,0.00139195
7,3671.85,0.8283,0.91601,1.0242,0.97108,0.90723,0.98543,0.84939,0.62979,0.77159,0.90745,0.00133693,0.00133693,0.00133693
8,4060.12,0.826,0.83183,1.01793,0.96883,0.95865,0.97839,0.82964,0.64829,0.77881,0.8999,0.00128192,0.00128192,0.00128192
9,4472.6,0.75912,0.73911,0.98925,0.99188,0.98148,0.98182,0.83023,0.57449,0.59694,0.87596,0.00122691,0.00122691,0.00122691
10,4998.53,0.74673,0.72007,0.99236,0.98155,0.9795,0.98134,0.85934,0.60184,0.58545,0.88363,0.0011719,0.0011719,0.0011719
11,5334.8,0.73954,0.70719,0.98359,0.99692,0.98148,0.98482,0.84993,0.57455,0.52614,0.87161,0.00111689,0.00111689,0.00111689
12,5759.01,0.71147,0.64067,0.96715,0.9935,0.98048,0.99266,0.86377,0.55468,0.53198,0.86879,0.00106188,0.00106188,0.00106188
13,6144.9,0.73138,0.62324,0.9714,0.99104,0.97951,0.98217,0.82943,0.61157,0.51085,0.89171,0.00100687,0.00100687,0.00100687
14,6468.61,0.68639,0.5782,0.94333,0.99344,0.98148,0.99446,0.86344,0.51458,0.4514,0.86058,0.000951857,0.000951857,0.000951857
15,6822.7,0.69329,0.56096,0.95306,0.99352,1,0.995,0.86596,0.51804,0.43967,0.86242,0.000896846,0.000896846,0.000896846
16,7130.67,0.68487,0.54883,0.95241,0.99423,0.98148,0.99306,0.8779,0.52749,0.42516,0.86324,0.000841835,0.000841835,0.000841835
17,7501.62,0.67159,0.52423,0.94892,0.98491,1,0.995,0.88823,0.53756,0.42702,0.85111,0.000786824,0.000786824,0.000786824
18,7842.58,0.63362,0.52182,0.93474,0.99382,0.9996,0.995,0.88884,0.50482,0.39265,0.84628,0.000731813,0.000731813,0.000731813
19,8278.71,0.64052,0.50019,0.92941,0.99089,0.99855,0.995,0.89026,0.46775,0.36045,0.83653,0.000676802,0.000676802,0.000676802
20,8603.02,0.61387,0.5009,0.92291,0.98854,0.98008,0.99446,0.88089,0.50273,0.39543,0.8446,0.000621791,0.000621791,0.000621791
21,8904.84,0.56706,0.43065,0.89829,0.99007,0.98148,0.9935,0.8971,0.46681,0.36971,0.84835,0.00056678,0.00056678,0.00056678
22,9220.29,0.54654,0.42592,0.8917,0.98202,0.98148,0.98736,0.87988,0.50066,0.37865,0.83857,0.000511769,0.000511769,0.000511769
23,9530.7,0.53382,0.39718,0.88029,0.99056,0.98148,0.99446,0.89397,0.4731,0.32612,0.83913,0.000456758,0.000456758,0.000456758
24,9875.73,0.52707,0.40303,0.8738,0.99663,0.98148,0.99397,0.88621,0.47793,0.32803,0.83911,0.000401747,0.000401747,0.000401747
25,10309.1,0.52572,0.3845,0.86584,0.99773,0.98148,0.99446,0.89266,0.45586,0.3155,0.83382,0.000346736,0.000346736,0.000346736
26,10621.8,0.50755,0.36669,0.8752,0.99693,0.98148,0.99446,0.89487,0.43591,0.30094,0.82738,0.000291725,0.000291725,0.000291725
27,10929.9,0.5023,0.36066,0.86714,0.99661,0.98148,0.99397,0.89611,0.45247,0.30728,0.82862,0.000236714,0.000236714,0.000236714
28,11238.7,0.48731,0.34723,0.86651,0.99446,0.98148,0.99446,0.89959,0.44585,0.30239,0.82588,0.000181703,0.000181703,0.000181703
29,11543.1,0.47749,0.33414,0.85149,0.99209,0.98148,0.99446,0.90308,0.44097,0.29138,0.82644,0.000126692,0.000126692,0.000126692
30,11893.4,0.46306,0.33248,0.86191,0.99369,0.98148,0.99446,0.90604,0.43023,0.28712,0.8222,7.1681e-05,7.1681e-05,7.1681e-05
